"id","conversation","qa_index","category","question","gold","our_answer","no_binding_answer","our_f1_pct","no_binding_f1_pct","delta_pp","our_read_tokens","no_binding_read_tokens","our_stored_tokens","no_binding_stored_tokens","no_binding_finish_reason"
"conv-44:83","conv-44","83","4","What special memories does Audrey have with her childhood dog, Max?","Long walks in the neighborhood, exploring new paths, sharing worries and hopes","taking long walks in the neighborhood, exploring new paths, sharing worries and hopes","Max and Audrey taking long walks in the neighborhood when she was a kid, exploring new paths, and sharing her worries and hopes with him.","95.23809523809523","66.66666666666666","-28.57142857142857","2047","2028","67751","65911","stop"
"conv-44:84","conv-44","84","4","What are some of the personalities of Audrey's four fur babies?","oldest is relaxed, second is playful, third can be naughty but loves cuddles, youngest is full of life","The oldest is the most relaxed, the second is always ready for a game, the third can be naughty but loves cuddles, and the youngest is full of life.","The oldest one is the most relaxed, the second one is always ready for a game, the third one can be naughty but loves a good cuddle, and the youngest one is full of life and always up for an adventure.","85","69.38775510204081","-15.612244897959183","2005","2033","67751","65911","stop"
"conv-44:85","conv-44","85","4","What type of classes did Audrey start with her pups recently on 4 August, 2023?","Agility classes","agility classes","agility classes","100","100","0","2031","2048","67751","65911","stop"
"conv-44:86","conv-44","86","4","How often does Audrey take her pups to the park for practice?","Twice a week","twice a week","twice a week","100","100","0","2043","2033","67751","65911","stop"
"conv-44:87","conv-44","87","4","How long did the trail hike that Audrey went on with her pups take?","Two hours","two hours","two hours","100","100","0","2046","2035","67751","65911","stop"
"conv-44:88","conv-44","88","4","What advice did Audrey give to Andrew regarding grooming Toby?","Grooming slowly and gently, paying attention to sensitive areas like ears and paws. And remember to stay patient and positive throughout the grooming process.","Groom slowly and gently, pay attention to sensitive areas like ears and paws, and stay patient and positive throughout the process.","Groom slowly and gently, pay attention to sensitive areas like ears and paws, and stay patient and positive throughout the process.","91.42857142857143","91.42857142857143","0","2029","2039","67751","65911","stop"
"conv-44:89","conv-44","89","4","What is essential to keep the dogs looking good according to Audrey?","Daily brushing, regular baths, nail trims, and lots of love","grooming","regular grooming, daily brushing, regular baths, and nail trims","0","70.58823529411765","70.58823529411765","1974","2026","67751","65911","stop"
"conv-44:90","conv-44","90","4","What did Audrey organize with the neighbors' dogs?","a doggy playdate","unknown","doggy playdate","0","100","100","2040","2032","67751","65911","stop"
"conv-44:91","conv-44","91","4","What did Audrey do to give her dogs extra comfort as the weather cooled down?","Got new beds for them","bought new beds","got some new beds for them","50","90.9090909090909","40.90909090909091","2031","2041","67751","65911","stop"
"conv-44:92","conv-44","92","4","How does Audrey describe the new beds for her dogs?","Super cozy and comfy","Super cozy and comfy","Super cozy and comfy","100","100","0","2032","2041","67751","65911","stop"
"conv-44:93","conv-44","93","4","How did Audrey calm down her dog after the leash incident?","Petted, hugged, spoke calmly and slowly walked the dog","She petted and hugged her, spoke calmly, and slowly walked her to relax.","She petted and hugged her, spoke calmly, and slowly walked her to relax.","66.66666666666666","66.66666666666666","0","1960","2043","67751","65911","stop"
"conv-44:94","conv-44","94","4","How often does Audrey take her dogs for walks?","Multiple times a day","Multiple times a day","Multiple times a day","100","100","0","2028","2038","67751","65911","stop"
"conv-44:95","conv-44","95","4","What kind of flowers does Audrey take care of?","Peruvian Lilies","Peruvian Lilies","Peruvian Lilies","100","100","0","2017","2036","67751","65911","stop"
"conv-44:96","conv-44","96","4","What did Andrew learn from reading books about ecological systems?","about animals, plants, and ecosystems and how they work together","animals, plants, and ecosystems","animals, plants, and ecosystems","54.54545454545454","54.54545454545454","0","2033","2044","67751","65911","stop"
"conv-44:97","conv-44","97","4","What did Andrew suggest as a way to reduce carbon footprint?","biking or using public transport","biking, using public transport","biking or using public transport","88.88888888888889","100","11.111111111111116","1937","2030","67751","65911","stop"
"conv-44:98","conv-44","98","4","How does Andrew suggest helping the planet while also training the body?","by biking","biking or using public transport","biking or using public transport","28.57142857142857","28.57142857142857","0","2015","2039","67751","65911","stop"
"conv-44:99","conv-44","99","4","What did Audrey do with her pups over the weekend before 4th October, 2023?","Took them to the beach","took them to the beach","took her dogs to the beach","100","66.66666666666666","-33.333333333333336","2042","2041","67751","65911","stop"
"conv-44:100","conv-44","100","4","What was the reason Audrey couldn't walk her dogs for a period of time?","Knee injury","knee injury","knee injury","100","100","0","2030","2047","67751","65911","stop"
"conv-44:101","conv-44","101","4","What type of jewelry does Audrey make?","Jewelry made from recycled objects","Jewelry made from recycled materials such as bottle caps, buttons, and broken jewelry.","Jewelry made from recycled objects such as bottle caps, buttons, and broken jewelry.","47.05882352941176","58.82352941176471","11.764705882352944","2043","2045","67751","65911","stop"
"conv-44:102","conv-44","102","4","Why does Audrey make jewelry out of recycled objects?","To show love for creativity and sustainability","to show her love of creativity and sustainability","to show her love of creativity and sustainability","76.92307692307693","76.92307692307693","0","2043","2032","67751","65911","stop"
"conv-44:103","conv-44","103","4","What organization does Audrey donate a portion of his profits to?","Animal shelter","animal shelter","animal shelter","100","100","0","2027","2044","67751","65911","stop"
"conv-44:104","conv-44","104","4","How does Audrey help out the animal shelter?","By donating a portion of his profits frmo selling jwelery","She donates a portion of her profits from selling jewelry.","She donates her profits.","55.55555555555556","30.76923076923077","-24.786324786324787","2040","2029","67751","65911","stop"
"conv-44:105","conv-44","105","4","What type of games do Audrey's dogs like to play at the park?","Fetch and Frisbee","Fetch and Frisbee","Fetch, Frisbee","100","100","0","2038","2042","67751","65911","stop"
"conv-44:106","conv-44","106","4","What did Audrey make to thank her neighbors?","Goodies","unknown","cookies","0","0","0","2039","2046","67751","65911","stop"
"conv-44:107","conv-44","107","4","How do Audrey's dogs react to snow?","Confused","They hate it and get confused.","They hate it and get confused.","33.33333333333333","33.33333333333333","0","2004","2039","67751","65911","stop"
"conv-44:108","conv-44","108","4","How does Audrey describe her dogs' response to snow?","They definitely prefer nice, sunny days in the grass.","They were so confused.","hate snow and were confused","16.666666666666664","0","-16.666666666666664","1966","2045","67751","65911","stop"
"conv-44:109","conv-44","109","4","What kind of experiences are Audrey's dogs the best companions for?","Exploring the great outdoors","exploring the great outdoors","adventures, exploring new places, socializing, getting exercise, playing, hiking, puzzles, training, hide-and-seek","100","13.333333333333334","-86.66666666666667","1945","2046","67751","65911","stop"
"conv-44:110","conv-44","110","4","What activity do Andrew and Buddy enjoy doing together?","Walking","walks","walking, hiking","100","66.66666666666666","-33.333333333333336","2039","2026","67751","65911","stop"
"conv-44:111","conv-44","111","4","What do Andrew and Buddy like doing on walks?","Checking out new hiking trails","checking out new hiking trails","checking out new hiking trails","100","100","0","2025","2042","67751","65911","stop"
"conv-44:112","conv-44","112","4","What cuisine did Andrew recently try at a new spot in town?","sushi","sushi","Sushi","100","100","0","2048","2038","67751","65911","stop"
"conv-44:113","conv-44","113","4","Which type of sushi did Audrey suggest trying first to someone new to sushi?","California or salmon roll","California or salmon roll","California or salmon roll","100","100","0","2027","2039","67751","65911","stop"
